Document_ID1	Document_ID2	Similarity
6	12125	0.7055372098161695
30	2578	0.7563799488354842
40	4977	0.7339619491790621
57	5055	0.7020140703018434
58	6604	0.7143597811816536
59	2942	0.7208502494010595
59	11907	0.7399091288404315
63	9502	0.756092996240778
63	11301	0.7801978278643145
75	6341	0.7091647657688328
79	8782	0.7413911262552659
79	9827	0.708041448081208
89	7630	0.7235276982418567
89	8620	0.7636899132391238
97	5221	0.7857455482368978
112	5776	0.7004506053211668
117	8164	0.7731053587326708
125	8106	0.7470974214584671
127	6935	0.8989556051863709
136	11805	0.7277777887084927
156	5800	0.7807638556290094
160	11551	0.745890299381881
164	1785	1.0
164	8817	0.7119433144313897
178	7003	0.7557970578377976
179	4588	0.7146898829834892
197	11204	1.0000000000000002
208	1739	0.7173115794593002
208	3003	0.7261688193182135
208	5489	0.7184001481801146
225	10799	0.8403732589771065
226	936	0.7068816125809422
241	4627	0.7283950752132906
247	8862	0.7203154806650163
253	6595	1.0000000000000002
255	3763	0.7681556946837544
265	1298	0.7191113374413864
272	11929	0.7548238712705705
272	12016	0.7079150611184165
292	2111	0.7201338132420612
298	5888	0.8251821154781889
302	3548	0.7116229670964681
303	4060	0.7159989927136753
303	5676	0.7240585374840813
314	572	0.752416075011228
324	5898	0.7165301145057198
329	422	0.719961702439426
329	1134	0.727901985813517
329	1407	0.7214159595879558
329	1587	0.7044138559778167
329	4860	0.7402138677089429
329	5098	0.7299073802494177
329	5651	0.7171021807395944
329	5857	0.7334681893861964
329	6532	0.7445530672963966
329	7450	0.7109458441114836
329	7794	0.710789825655427
329	10222	0.717354832796367
329	10715	0.7061577088136359
331	3022	0.8728548013062603
353	1666	0.7014846445750952
387	918	0.7177016354115329
398	4752	0.7687085684372822
402	5858	0.8434185890629962
418	2624	0.7570727889985851
422	6532	0.7061833790891142
422	7794	0.7131547437579697
428	11746	0.7003680056343338
437	4643	0.8827903089749359
444	4605	0.833287932346513
457	1869	0.7372431396643608
493	1354	0.8485874552504108
493	1813	0.8281384987813503
493	7491	0.8735460962943565
515	3373	0.9735529654894062
519	10871	0.9053563485098708
523	4977	0.7338110923145473
546	10485	0.7731053797926164
558	3025	0.7154220787759
565	7170	0.9999999999999999
567	10248	0.7255867382219949
578	10954	0.8195173363162891
583	5521	0.7031121358064835
609	6017	0.9275010234251315
637	2401	0.7497376224580808
637	2572	0.7200511377900684
637	3497	0.7163298412386088
637	7733	0.7017575699222175
644	6370	0.7348721242583901
701	4904	0.9076695794779687
705	7465	0.9999999999999999
760	3811	0.7793464249183648
778	10794	0.7234944149046317
791	10788	1.0000000000000002
794	3302	0.8083643025706067
809	1282	0.7766955303241998
809	1534	0.7688525132358072
809	5579	0.7513375342517669
809	8114	0.7280563293542175
874	11770	0.7123701221679973
898	6807	0.7048715135116347
909	2923	0.7076766008401341
909	8586	0.7142014487122735
909	8731	0.7119237402593126
969	7342	0.7842348414487937
981	3299	0.7104276797856511
982	10248	0.7136065613012724
989	5793	0.7024130801109276
999	5462	0.7575474017656715
1014	2423	0.735785685268279
1017	2636	0.8304234198131694
1017	6848	0.712563240139735
1034	2889	0.7018485362238622
1049	3414	1.0
1049	6784	0.7839709014861364
1056	9877	0.9010061126069357
1068	7120	0.8705345449038194
1088	1461	0.7100094658587943
1088	2318	0.7481753183395168
1088	3349	0.7034644304615527
1088	7188	0.7618699979307874
1088	7810	0.7514197530094346
1088	11717	0.7357937655358006
1134	1345	0.7206512013104998
1134	1407	0.7085069308853381
1134	1587	0.708625136573511
1134	3121	0.7118989141931994
1134	4266	0.7177296360857846
1134	4860	0.9575453380244151
1134	5098	0.7781532267139031
1134	5651	0.7658179827676795
1134	6460	0.7047940858787375
1134	6493	0.7077613997848126
1134	6532	0.7335098332299382
1134	6815	0.7010784616784168
1134	7234	0.712071712773804
1134	10222	0.7083695436075366
1134	10396	0.7325413989344028
1134	10715	0.8916812145238231
1140	9826	0.7033981660366216
1143	10037	1.0000000000000002
1153	3663	0.7275023327355181
1178	4062	0.708620453153281
1178	7493	0.7361231333489255
1178	9043	0.7506772331674404
1178	9691	0.7058888219302737
1185	2439	0.7824782452808999
1185	5363	0.7168638503798231
1222	2721	0.737127869604952
1222	3317	0.7184248578285327
1222	4567	0.7095579024954217
1222	5478	0.7044301312905491
1222	8050	0.7656738160421845
1222	9293	0.7239971396779369
1235	6132	0.7662708041371376
1237	6131	0.8928367215088726
1238	5098	0.7294911149327057
1256	10017	0.7469847787561114
1282	5579	0.7313968117616386
1336	4682	0.7943729587640115
1336	5924	0.7373113401453133
1339	1757	0.743118977158161
1345	4860	0.7118758511767906
1354	1813	0.828030938522508
1354	7491	0.8894632089664615
1359	5814	0.8396487050588574
1359	6111	0.7724554980829107
1359	7898	0.7036166018079815
1359	8840	0.7352742355635489
1359	11466	0.7260019286114722
1365	2010	0.8138207079725315
1373	3667	0.7046507509404687
1373	7998	0.7200081696352906
1386	3393	0.7064964616761814
1398	6852	0.7001393014011715
1404	7685	1.0000000000000002
1407	4860	0.7123106341518403
1407	5098	0.7570567388271299
1407	5651	0.7006790831661839
1407	6532	0.7045899838024615
1418	6776	0.8555842356156099
1428	11540	0.7638398008608495
1453	3969	0.8434003923709371
1453	4053	0.7452800867253033
1453	4795	0.7557505529061378
1453	5202	0.7180932552855875
1453	7821	0.7245649605396044
1453	8632	0.9023932170207617
1453	10678	0.7019665518323497
1458	7146	0.7130986758899486
1461	2318	0.7239178062194606
1461	7188	0.7865877628556757
1461	11717	0.7299338276922512
1468	5366	0.7074738679659811
1468	7932	0.7236698502100326
1468	9211	0.8029875922896977
1468	10154	0.7138004272228
1477	3083	0.739477612191187
1526	11028	0.7284636816790324
1534	5579	0.7038652543927726
1543	3261	0.7313203005845949
1549	5098	0.7005252402919161
1550	10471	0.7134825987619128
1569	7164	0.7332349825578385
1577	5810	0.7130197912142873
1579	8425	0.7634661688453708
1587	4266	0.706564918149627
1587	4860	0.7097454074044017
1587	5098	0.7539834965253511
1587	6532	0.7232786870296851
1587	6901	0.7106876265740388
1587	10222	0.7137688501560425
1589	12212	0.9003610072756815
1603	8298	0.7199865282280346
1619	5861	0.748166570524065
1633	3113	0.7036173029929813
1674	7721	1.0
1695	6310	0.7855973638415908
1739	3003	0.7891157860146744
1739	5489	0.8095740341589432
1739	7816	0.7256647762276377
1739	8206	0.7079532841263092
1739	10292	0.8117141058241526
1746	10642	0.995091458924202
1768	1863	0.7571881365159499
1775	9352	0.7866763065440544
1781	7817	0.7505513121161134
1785	8817	0.7119433144313897
1802	11406	0.7509941737008196
1813	7491	0.8745477850202404
