Statistic Measure	SVM (BOW)	Random Forest (BOW)	SVM (SVD)	Random Forest (SVD)	SVM (W2V)	Random Forest (W2V)	My method
Accuracy	0.9520665610898073	0.9439095570009111	0.9429311614160717	0.8663811412893793	0.7149016969979449	0.6989226923158407	0.9698380330925191
Precision	0.9498583181168814	0.9439764026613858	0.9408134414645571	0.8795860019576922	0.7318328257148756	0.7086530108451397	0.9678446084648099
Recall	0.948442896140975	0.9319728706772252	0.9376118460559901	0.8389792489473311	0.6748310471970421	0.6639647747872309	0.9683197665099137
F-Measure	0.9489486170952942	0.9365171085309854	0.9390072441882031	0.8490384492737124	0.6763408779272104	0.6685059562774113	0.9679768824057122
